Coordinates,Intro Number,Enactment Date,Enactment Year,Enactment Number,Category,Borough,New Name,Present Name,Limits,Zip Code,Introduced by Council Member(s),Biographical Information,Notes
POINT (-73.90457102799996 40.723009912000066),Int. No.  1631,08/23/2019,2019,2019/158,Intersection,Queens,Deacon David Ciorciari Way,,At the southeast corner of 61st Street and Maspeth Avenue,11378,Holden,"David Ciorciari served on the NYPD as a police officer, detective and sergeant where he was instrumental in the creation of the Runway Investigation Unit of the Missing Persons Squad. He was recognized several times by the Chief of Detectives for outstan",
POINT (-74.18398233799996 40.602595059000066),Int. No. 897,03/19/2023,2023,2023/044,Intersection,Staten Island,Police Officer Emil A. Borg Way,,At the intersection of South Avenue and Travis Avenue,10314,Carr,"Emil A. Borg served in the United States Marines during World War II. After the war, he served on the NYPD and was assigned to the first Precinct in lower Manhattan as a patrol officer for 15 years. He then took an assignment at the Office of the Deputy",
POINT (-73.87601897799993 40.73562095900007),Int. No. 897,03/19/2023,2023,2023/044,Intersection,Queens,Asif Rahman Way,,At the intersection of Queens Boulevard and 55th Avenue,11373,Krishnan,"Asif Rahman was born in Dhaka, Bangladesh. He came to the United States at an early age in 1988. After graduating from high school, he attended Queens College in Flushing, NY, worked as the Literary Editor of his college newspaper, and organized a spoken",
POINT (-73.95347010999996 40.809501459000046),Int. No. 988,07/29/2018,2018,2018/139,Intersection,Manhattan,Fannie Pennington Way,,At the northeast corner of West 123rd Street and Manhattan Avenue,10027,Perkins,"Fannie Pennington was an activist, organizer and fundraising coordinator for the United States Congressional Representative Adam Clayton Powell, Jr.’s Isaac Democratic Club and the Abyssinian Baptist Church A.C.P. overseas Club.  She served on the Abys",
POINT (-73.92251655199993 40.83162482300003),Int. No. 480-A,08/14/2022,2022,2022/081,Intersection,Bronx,Bishop Earl W. McKay Way,,At the intersection of 165th Street and Gerard Avenue,10452,Stevens,"Bishop Earl W. McKay was born in Kingston, Jamaica and migrated to New York at an early age. He became a charter member of the newly organized Tompkins Avenue Church of God of Prophecy. He served as youth director of the Tompkins Ave Church and District",
POINT (-73.97943799999996 40.642801011000074),Int. No. 480-A,08/14/2022,2022,2022/081,Intersection,Brooklyn,Little Bangladesh,,At the intersection of Macdonald Avenue and Church Avenue,11218,Hanif,This co-naming will commemorate the Bangladeshi community and recognize the contributions that have been made and they continue to make in the future.,
POINT (-73.83907040499997 40.65582849100008),Int. No. 968,07/20/2024,2024,2024/081,Intersection,Queens,Lenny’s Clam Bar Way,,At the intersection of Cross Bay Boulevard and 161st Avenue,11414,Ariola,"This co-naming will commemorate Lenny’s Clam Bar, which was established in 1974 and serves as a staple in the community. The restaurant has been involved in many charitable causes including the Juvenile Diabetes Research Foundation, Our Lady of Grace c",
POINT (-73.79647660299997 40.69858667200003),Int. No. 388,07/09/2014,2014,2014/034,Intersection,Queens,26th Regiment United States Colored Troops Drive,,At the southwest corner of Tuskegee Airmen Way and 159th Street,11435,Wills,The 26th Regiment United States Colored Troops was an African-American combat unit formed in 1864 in New York.  The regiment fought in the American Civil War.,
POINT (-73.94218757799996 40.70091591700003),Int. No. 968,07/20/2024,2024,2024/081,Intersection,Brooklyn,Boricua College Way,,At the intersection of Broadway and Graham Avenue,11206,Gutiérrez,"Boricua College was founded in 1974, and provides post-secondary educational services to thousands of Community Board 1 residents. Boricua College has had significant positive impact and cultural influence for the past 50 years within the district with d",
POINT (-74.07256697999998 40.61410836700003),Int. No. 471-A,12/21/2004,2004,2004/063,Intersection,Staten Island,John Crispino Way,,the northwest corner of the intersection of Tompkins Avenue and St. Mary's Avenue,10305,McMahon,"John Crispino, or as people knew him, “Dumbo”, was born on April 26, 1941 on Staten Island where he attended Port Richmond High School. John spent his adult life in the service of the community of Rosebank. A group of neighbors, led by John, founded",
POINT (-73.83655161299998 40.70169601100008),Int. No. 2477,01/15/2022,2022,2022/054,Intersection,Queens,Ivan Mrakovcic Way,,At the intersection of 114th Street and 85th Avenue,11418,Koslowitz,"Ivan Mrakovcic was a historian, environmentalist and preservationist whose contributions enhanced the Richmond Hills neighborhood. His civic involvement earned him many leadership positions and stewardships and resulted in the establishment of the Histor",
POINT (-74.10921387199994 40.58266061200004),Int. No. 2477,01/15/2022,2022,2022/054,Intersection,Staten Island,Dr. Louis A. Grecco Way,,At the corner of Bedford Avenue and Richmond Road,10306,Matteo,Dr. Louis A. Grecco was a highly revered obstetrician and gynecologist for over 30 years. He was an environmental activist who spearheaded studies to determine if the Fresh Kills and Brookfield landfills caused birth defects and whether air pollution pla,
POINT (-74.10699631699998 40.573226641000076),Int. No.  1631,08/23/2019,2019,2019/158,Intersection,Staten Island,Police Officer Rocco W. Laurie Way,,At the intersection of Otis Avenue and Hylan Boulevard,10306,Matteo,"Rocco W. Laurie served in the United States Marine Corps and was a Vietnam combat veteran. He earned the Good Conduct Medal, the National Defense Medal, the Viet Nam Service Medal, the Viet Nam Campaign Medal, the Combat Action Medal and the Rifleman Sha",
POINT (-73.85916627599994 40.745143143000064),Int. No. 1054,02/25/2016,2016,2016/023,Intersection,Queens,Edward F. Guida Sr. Way,,At the northeast corner of 104th Street and 48th Avenue,11368,Ferreras-Copeland,"Eddie Guida was a City Marshal for 29 years who dedicated countless hours of his life to the betterment and to the advancement of those less fortunate.  In 1909, his grandfather, Edward Guida Sr., opened the doors to the Edward F. Guida Funeral Home for",
POINT (-73.88103454099996 40.828382815000055),Int. No. 2477,01/15/2022,2022,2022/054,Intersection,Bronx,Ray Santos Way,,At the intersection of Evergreen Avenue and Westchester Avenue,10472,Salamanca,"Ray Santos, “El Maestro” of the mambo sound, performed, composed, and arranged for the premiere Latin music orchestras. Tito Puente, Tito Rodriguez, Mario Bauza, and Machito are only a few of the legendary ensembles with whom he was associated with",
POINT (-73.80044597799997 40.73148900700005),Int. No. 1102-A,07/23/2023,2023,2023/110,Intersection,Queens,Rabbi Simcha Krauss Way,,At the intersection of 169th Street and Jewel Avenue,11365,Gennaro,Rabbi Simcha Krauss was a leading figure of Modern Orthodox Judaism and an advocate for women’s rights within Orthodoxy. He created a rabbinical court to support women whose husbands refused to divorce them. He studied at Yeshiva Rabbi Chaim Berlin in,
POINT (-74.19272679999995 40.533627430000024),Int. No. 1102-A,07/23/2023,2023,2023/110,Intersection,Staten Island,Ciro Pappalardo Avenue,,At the intersection of Huguenot Avenue and Hawley Avenue,10312,Borelli,"Ciro Pappalardo born in Tre Case, Naples.  When he was 9 years old, he emigrated to Staten Island to join his brothers who had established Joe and Pats Pizzeria, which would become one of New York’s most famous pizzerias. He immediately began working",
POINT (-73.90442013499995 40.870378354000025),Int. No. 1278,01/20/2024,2024,2024/041,Intersection,Bronx,Nicholas Otoniel Feliz Dominici Way,,At the intersection of Kingsbridge Road and Kingsbridge Terrace,10463,Sanchez,Nicholas Otoniel Feliz Dominici died after being exposed to fentanyl and suffered acute opioid intoxication at Divino Niño day care in the Bronx. His death has raised awareness of the dangers of drugs.,
POINT (-74.00683609499998 40.711666464000075),Int. No. 281-A,05/05/2004,2004,2004/008,Intersection,Manhattan,Susan B. Anthony and Elizabeth Cady Stanton Corner,,the northeast corner of Park Row and Beekman Street,10038,Gerson,"Susan B. Anthony and Elizabeth Cady Stanton are of the many women that have made massive contributions to this nation. From 1868 to 1869 they published their women’s rights newspaper, The Revolution. These two women have worked hard and long for the ju",
POINT (-73.79976544999994 40.69632934300006),Int. No. 388,07/09/2014,2014,2014/034,Intersection,Queens,99th Flying Training Squadron Drive,,At the north corner of Tuskegee Airmen Way and 154th Street,11435,Wills,"On January 16, 1941, the War Department announced the formation of the 99th Pursuit Squadron, an African-American unit, and of the Tuskegee Institute training program. On March 7, 1942, the first graduating class of the Air Corps Advanced Flying School a",
POINT (-74.15815001599998 40.52951262600004),Int. No. 2477,01/15/2022,2022,2022/054,Intersection,Staten Island,Firefighter James J. Marshall Jr. Lane,,At the corner of Strawberry Lane at Mayberry Promenade,10312,Borelli,"James Marshall Jr. was a native Staten Islander. He grew up in Eltingville and graduated from Tottenville High School. He was an avid football player and fan, playing all through high school. He spent most of his days with his family and friends, especia",
POINT (-73.85094124499994 40.88649632200003),Int. No. 1300,01/20/2019,2019,2019/024,Intersection,Bronx,Rev. Dr. V. Seymour Cole Way,,At the northeast corner of East 227th Street and Paulding Avenue,10466,King,"Rev. Dr. V. Seymour Cole was the founder of Bronx Bethany Church of the Nazarene in 1964 and served as pastor for 36 years. In the first 13 years of the church, Rev. Cole commuted from Connecticut approximately 60 miles each way, in order to ensure the e",
POINT (-73.95963044599995 40.577986112000076),Int. No. 480-A,08/14/2022,2022,2022/081,Intersection,Brooklyn,Ukrainian Way,,At the intersection of Brighton Beach Avenue and Coney Island Avenue,11235,Vernikov,This co-naming is in recognition of the victims of military brutality in the Ukraine.,
POINT (-73.88579143099997 40.665965812000024),Int. No. 1045-A,07/01/2013,2013,2013/050,Intersection,Brooklyn,African Burial Ground Square,,At the intersections of Barbey Street and Livonia Avenue,11207,Barron,"This co-naming will commemorate the burial ground for enslaved Africans in the area encompassing Schenck, New Lots and Livonia Avenues and Barbey Street in the borough of Brooklyn.",
POINT (-73.96426281599997 40.689893393000034),Int. No.  1631,08/23/2019,2019,2019/158,Intersection,Brooklyn,Walt Whitman Way,,At the intersection of Dekalb Avenue and Ryerson Street,11205,Cumbo,"Walt Whitman was an American poet, journalist and essayist who is considered one of America’s most influential poets. He published Leaves of Grass, which is considered a landmark in American literature. He worked as a volunteer nurse during the Civil W",
POINT (-73.81163799799998 40.79401100600006),Int. No. 471-A,12/21/2004,2004,2004/063,Intersection,Queens,Transit Police Officer Thomas R. O'Dea Place,,the intersection of 9th Avenue and 151st Place,11357,Avella,"Thomas R. O’Dea served with the New York City Police Department for 19 ½ years. When the World Trade Center disaster occurred on September 11, 2001, Thomas went down to the site in order to dig and to look for survivors during the first 40 days. He wa",
POINT (-74.03018950199998 40.61393259600004),Int. No. 565,10/20/2003,2003,2003/062,Intersection,Brooklyn,Joe Imbriale Corner,,The intersection of 97th Street and Fort Hamilton Parkway,11209,Gentile,"Joe Imbraile was born on April 22, 1927 in Bay Ridge Brooklyn. He attended St. Agatha’s and St. Michael’s elementary school and graduated from Manual training (now John Jay) high school. He worked in the family landscaping business from the time he w",
